Country;Year;Month;Day;Coverage ratio;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
DK;2010;1;1;100;3803;3673;3528;3391;3302;3297;3391;3501;3589;3681;3915;4077;4156;4162;4183;4263;4625;4966;4918;4657;4392;4139;3897;3684
DK;2010;1;2;100;3430;3264;3171;3153;3180;3263;3453;3735;4039;4269;4428;4447;4426;4346;4319;4436;4837;5308;5191;4835;4535;4218;4047;3806
DK;2010;1;3;100;3532;3375;3258;3228;3258;3315;3487;3732;3993;4278;4463;4479;4437;4372;4387;4482;4931;5477;5352;5055;4709;4408;4054;3766
DK;2010;1;4;100;3556;3407;3385;3366;3462;3700;4447;5292;5629;5610;5650;5612;5494;5482;5380;5275;5550;6074;5870;5485;5136;4759;4376;3913
DK;2010;1;5;100;3627;3489;3432;3432;3511;3803;4533;5381;5703;5681;5718;5669;5588;5586;5499;5368;5650;6111;5862;5439;5038;4736;4329;3867
DK;2010;1;6;100;3627;3493;3438;3442;3554;3783;4491;5322;5641;5625;5677;5622;5503;5491;5416;5311;5586;6085;5869;5514;5139;4786;4418;3924
DK;2010;1;7;100;3678;3559;3515;3533;3633;3872;4624;5491;5803;5778;5831;5784;5655;5648;5574;5457;5736;6188;5980;5624;5215;4871;4437;4043
DK;2010;1;8;100;3779;3656;3598;3632;3704;3969;4674;5570;5867;5835;5843;5722;5524;5370;5219;5158;5536;6027;5897;5505;5069;4784;4474;4178
DK;2010;1;9;100;3940;3750;3636;3611;3617;3687;3905;4239;4605;4846;4936;4890;4814;4712;4664;4744;5122;5678;5544;5147;4863;4597;4329;4059
DK;2010;1;10;100;3818;3601;3492;3448;3445;3506;3654;3886;4216;4446;4567;4641;4615;4546;4512;4538;4944;5492;5417;5160;4829;4536;4215;3871
DK;2010;1;11;100;3655;3534;3494;3489;3571;3862;4666;5565;5819;5788;5812;5716;5575;5545;5459;5374;5645;6225;5987;5589;5194;4863;4480;4040
DK;2010;1;12;100;3726;3610;3552;3565;3645;3868;4607;5537;5867;5832;5878;5821;5700;5722;5648;5489;5699;6172;5927;5511;5114;4784;4387;3994
DK;2010;1;13;100;3709;3548;3500;3503;3598;3860;4581;5498;5810;5770;5833;5772;5667;5662;5596;5470;5702;6166;5913;5525;5132;4842;4412;4028
DK;2010;1;14;100;3760;3617;3565;3563;3653;3924;4658;5531;5814;5785;5843;5812;5720;5739;5625;5484;5717;6175;5923;5590;5176;4818;4417;3982
DK;2010;1;15;100;3719;3616;3525;3547;3616;3845;4593;5503;5830;5814;5878;5820;5635;5467;5296;5219;5489;5902;5695;5228;4762;4467;4191;3893
DK;2010;1;16;100;3604;3445;3345;3316;3329;3410;3625;4007;4382;4685;4835;4862;4774;4708;4686;4767;5080;5559;5421;4996;4690;4465;4238;3968
DK;2010;1;17;100;3755;3550;3461;3404;3402;3446;3598;3843;4171;4398;4574;4643;4639;4626;4616;4621;4935;5408;5263;4985;4649;4399;4045;3739
DK;2010;1;18;100;3495;3403;3355;3366;3446;3670;4461;5437;5721;5692;5745;5718;5602;5612;5503;5362;5527;6101;5868;5497;5110;4744;4349;3917
